,ProgramAdministrator,ProgramName,FuelType,Sector,"NetFuelSavingAcquired,MWh",Success
1,Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,74836.28,1
2,Central Hudson Gas & Electric Corporation,Home Energy Reporting,Gas,Residential,28442.666233199998,1
3,Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Electric,Commercial,35711.02,0
4,Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,19562.37,1
5,Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,125.683,1
6,Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,8083.9,1
7,Central Hudson Gas & Electric Corporation,Residential HVAC Program,Gas,Residential,17984.8940961,1
8,Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Electric,Commercial,16.276,0
9,Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Gas,Commercial,3438.3734382000002,0
10,Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,90577.44,0
11,"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.2,0
13,"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Electric,Commercial,241090.03,1
14,"Consolidated Edison Company of New York, Inc.",C&I Custom Gas Efficiency Program,Gas,Commercial,55170.1549449,1
16,"Consolidated Edison Company of New York, Inc.",C&I Equipment Rebate Program,Electric,Commercial,231290.66,1
17,"Consolidated Edison Company of New York, Inc.",C&I Gas Efficient Equipment Rebate Program,Gas,Commercial,101233.42047210001,1
19,"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Electric,Multi-Family,64221.18,1
20,"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Gas,Multi-Family,205207.7165745,1
21,"Consolidated Edison Company of New York, Inc.",Multifamily Low-Income Program,Gas,Multi-Family,36510.1125591,1
22,"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Gas,Residential,6.3707556599999995,0
23,"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Electric,Residential,2663.1,0
24,"Consolidated Edison Company of New York, Inc.",Residential Electric Program,Electric,Residential,39450.54,0
25,"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,669.394,0
26,"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,6443.58,0
27,"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Gas,Residential,56248.016583,0
28,"Consolidated Edison Company of New York, Inc.",Residential Room Air Conditioning Program,Electric,Residential,3213.46,0
30,"Consolidated Edison Company of New York, Inc.",Small Business Direct Install Program,Electric,Commercial,506043.82,1
31,Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,7387.298261999999,0
32,Corning Natural Gas Corporation,Small Commercial HVAC Program,Gas,Commercial,409.799781,0
33,KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,25570.436628900003,0
34,KeySpan Gas East Corp. d/b/a National Grid,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,100563.48003630001,1
35,KeySpan Gas East Corp. d/b/a National Grid,Enhanced Home Sealing Incentives Program,Gas,Residential,1025.188167,1
36,KeySpan Gas East Corp. d/b/a National Grid,Large Industrial Energy Efficiency Program,Gas,Commercial,19960.851165,0
37,KeySpan Gas East Corp. d/b/a National Grid,Multifamily Energy Efficiency Program,Gas,Multi-Family,5136.9778512,1
38,KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,699.3763866,1
39,KeySpan Gas East Corp. d/b/a National Grid,"Residential High Efficiency Heating, Water Heating & Controls Program",Gas,Residential,52427.6703603,1
40,KeySpan Gas East Corp. d/b/a National Grid,Residential HVAC Program,Gas,Residential,61804.565169,1
41,National Fuel Gas Distribution Corporation,Low-Income Usage Reduction Program (EmPower),Gas,Residential,42188.135729400004,1
42,National Fuel Gas Distribution Corporation,Residential Rebate Program,Electric,Residential,6924.0,1
43,National Fuel Gas Distribution Corporation,Residential Rebate Program,Gas,Residential,302198.0578638,1
