ProgramAdministrator,ProgramName,FuelType,Sector,"NetFuelSavingAcquired,MWh",Success,Predicted
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,74836.28,1,1
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Gas,Residential,28442.6662332,1,1
Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Electric,Commercial,35711.02,0,0
Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,19562.37,1,0
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,125.683,1,0
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,8083.9,1,0
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Gas,Residential,17984.8940961,1,0
Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Electric,Commercial,16.276,0,0
Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Gas,Commercial,3438.3734382,0,0
Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,90577.44,0,0
"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.2,0,0
"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Electric,Commercial,241090.03,1,0
"Consolidated Edison Company of New York, Inc.",C&I Custom Gas Efficiency Program,Gas,Commercial,55170.1549449,1,0
"Consolidated Edison Company of New York, Inc.",C&I Equipment Rebate Program,Electric,Commercial,231290.66,1,0
"Consolidated Edison Company of New York, Inc.",C&I Gas Efficient Equipment Rebate Program,Gas,Commercial,101233.4204721,1,0
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Electric,Multi-Family,64221.18,1,1
"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Gas,Multi-Family,205207.7165745,1,1
"Consolidated Edison Company of New York, Inc.",Multifamily Low-Income Program,Gas,Multi-Family,36510.1125591,1,1
"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Gas,Residential,6.37075566,0,0
"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Electric,Residential,2663.1,0,0
"Consolidated Edison Company of New York, Inc.",Residential Electric Program,Electric,Residential,39450.54,0,0
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,669.394,0,0
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,6443.58,0,0
"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Gas,Residential,56248.016583,0,0
"Consolidated Edison Company of New York, Inc.",Residential Room Air Conditioning Program,Electric,Residential,3213.46,0,0
"Consolidated Edison Company of New York, Inc.",Small Business Direct Install Program,Electric,Commercial,506043.82,1,0
Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,7387.298261999999,0,0
Corning Natural Gas Corporation,Small Commercial HVAC Program,Gas,Commercial,409.799781,0,0
KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,25570.436628900003,0,0
KeySpan Gas East Corp. d/b/a National Grid,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,100563.4800363,1,1
KeySpan Gas East Corp. d/b/a National Grid,Enhanced Home Sealing Incentives Program,Gas,Residential,1025.188167,1,1
KeySpan Gas East Corp. d/b/a National Grid,Large Industrial Energy Efficiency Program,Gas,Commercial,19960.851165,0,0
KeySpan Gas East Corp. d/b/a National Grid,Multifamily Energy Efficiency Program,Gas,Multi-Family,5136.9778512,1,1
KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,699.3763866,1,1
KeySpan Gas East Corp. d/b/a National Grid,"Residential High Efficiency Heating, Water Heating & Controls Program",Gas,Residential,52427.6703603,1,0
KeySpan Gas East Corp. d/b/a National Grid,Residential HVAC Program,Gas,Residential,61804.565169,1,0
National Fuel Gas Distribution Corporation,Low-Income Usage Reduction Program (EmPower),Gas,Residential,42188.1357294,1,1
National Fuel Gas Distribution Corporation,Residential Rebate Program,Electric,Residential,6924.0,1,1
National Fuel Gas Distribution Corporation,Residential Rebate Program,Gas,Residential,302198.0578638,1,1
National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,35175.7120965,1,1
New York State Electric & Gas Corporation,Block Bidding Program,Electric,Commercial,6958.39,0,0
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Electric,Commercial,8003.14,0,0
New York State Electric & Gas Corporation,C&I Custom Rebate Program,Gas,Commercial,833.0192373,0,0
New York State Electric & Gas Corporation,C&I Electric Program,Electric,Commercial,87267.23,0,0
New York State Electric & Gas Corporation,C&I Gas Program,Gas,Commercial,13605.0244908,0,0
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,2953.32,0,0
New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,4579.0253238,0,0
New York State Electric & Gas Corporation,Energy Saver Program,Electric,Residential,4909.61,0,0
New York State Electric & Gas Corporation,Energy Saver Program,Gas,Residential,3764.513457,0,0
New York State Electric & Gas Corporation,Multifamily Program,Electric,Multi-Family,16531.16,1,1
New York State Electric & Gas Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,61883.46,0,0
New York State Electric & Gas Corporation,Residential HVAC Program,Electric,Residential,5447.66,0,0
New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,148138.6116339,0,0
New York State Electric & Gas Corporation,Small Business Direct Install Program,Electric,Commercial,136437.16,0,0
New York State Energy Research and Development Authority,Advanced Sub-Metering Program,Electric,Multi-Family,2413.83,0,0
New York State Energy Research and Development Authority,Agricultural Disaster Program,Gas,Commercial,1545.65118,0,0
New York State Energy Research and Development Authority,Agricultural Disaster Program,Electric,Commercial,523.592,0,0
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Electric,Commercial,26096.72,0,0
New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Gas,Commercial,17927.4172077,0,0
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,566.307,0,0
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,912.91305,0,0
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,2186.05,0,0
New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,70692.9914166,0,0
New York State Energy Research and Development Authority,New York Energy Star Homes,Electric,Residential,2826.65,0,0
New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,11043.4461558,0,0
New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,992099.27,1,0
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,260.737,0,0
New York State Energy Research and Development Authority,EmPower New York Program,Gas,Residential,213392.5432968,0,0
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,60351.8,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,9.018,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,714.7918686,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,682175.78,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,140166.5068404,0,0
New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,944975.26,0,0
New York State Energy Research and Development Authority,Flex Tech Program,Electric,Commercial,5201.66,0,0
New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,221790.0069576,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,1134.91,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,490.6196949,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,5055.71,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,136037.84804699998,0,0
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,942591.44,1,0
